particle concentration [ppm],q [1/A],mean intensity [a.u.],standard deviation of intensity [a.u.],background-subtracted intensity [a.u.],standard deviation of background-subtracted intensity [a.u.]
0.0,0.054760659274930026,29.002036659877803,0.2672405103776759,0.0,0.2672405103776759
0.0,0.054940196953081034,29.032631578947367,0.26472836650683634,0.0,0.26472836650683634
0.0,0.055119734577548055,28.99053497942387,0.20859205090963764,0.0,0.20859205090963764
0.0,0.05529927214815566,28.898315789473678,0.21177116170780447,0.0,0.21177116170780447
0.0,0.055478809664728464,28.863116370808676,0.25762298554872654,0.0,0.25762298554872654
0.0,0.05565834712709105,28.853319502074687,0.23059874322249788,0.0,0.23059874322249788
0.0,0.055837884535068015,28.861303462321793,0.2246417380409466,0.0,0.2246417380409466
0.0,0.056017421888483944,28.855257731958762,0.22709035359522753,0.0,0.22709035359522753
0.0,0.05619695918716345,28.843204868154157,0.2141473945673992,0.0,0.2141473945673992
0.0,0.056376496430931095,28.731889763779527,0.21190613442831469,0.0,0.21190613442831469
0.0,0.056556033619611513,28.684848484848487,0.2966754537617243,0.0,0.2966754537617243
0.0,0.05673557075302929,28.608113590263695,0.25577570518023096,0.0,0.25577570518023096
0.0,0.05691510783100901,28.637800000000006,0.22772869823462474,0.0,0.22772869823462474
0.0,0.05709464485337526,28.617227722772277,0.2433163834692002,0.0,0.2433163834692002
0.0,0.057274181819952655,28.64609218436874,0.20947434805195322,0.0,0.20947434805195322
0.0,0.05745371873056579,28.63795180722891,0.19258493773621482,0.0,0.19258493773621482
0.0,0.05763325558503925,28.62455445544554,0.18881829310035678,0.0,0.18881829310035678
0.0,0.057812792383197656,28.64446601941747,0.23263148915501922,0.0,0.23263148915501922
0.0,0.05799232912486557,28.609589041095894,0.1888291770802876,0.0,0.1888291770802876
0.0,0.058171865809867614,28.539399999999993,0.28148328547266577,0.0,0.28148328547266577
0.0,0.05835140243802839,28.4889748549323,0.3246438627145757,0.0,0.3246438627145757
0.0,0.058530939009172486,28.549709864603482,0.2807639297670886,0.0,0.2807639297670886
0.0,0.05871047552312451,28.585057471264367,0.21492886905883055,0.0,0.21492886905883055
0.0,0.05889001197970903,28.58790786948176,0.17799868942939281,0.0,0.17799868942939281
0.0,0.0590695483787507,28.561296660117875,0.2336002418508226,0.0,0.2336002418508226
0.0,0.059249084720074056,28.537284894837473,0.20020681810894142,0.0,0.20020681810894142
0.0,0.05942862100350377,28.456420233463035,0.20414151307852893,0.0,0.20414151307852893
0.0,0.05960815722886439,28.55377176015474,0.20036117398248354,0.0,0.20036117398248354
0.0,0.05978769339598053,28.667097966728278,0.1626164657221014,0.0,0.1626164657221014
0.0,0.05996722950467678,28.703461538461532,0.19161567797967144,0.0,0.19161567797967144
0.0,0.06014676555477777,28.610922787193978,0.2337435917622322,0.0,0.2337435917622322
0.0,0.06032630154610808,28.57304015296367,0.17581685631278204,0.0,0.17581685631278204
0.0,0.06050583747849232,28.535260115606935,0.12660821663588295,0.0,0.12660821663588295
0.0,0.0606853733517551,28.59311594202898,0.09854872653756007,0.0,0.09854872653756007
0.0,0.060864909165721,28.6421845574388,0.12132796679444446,0.0,0.12132796679444446
0.0,0.06104444492021463,28.686605504587156,0.17540900537052456,0.0,0.17540900537052456
0.0,0.06122398061506063,28.731015037593988,0.21164520407379506,0.0,0.21164520407379506
